Da 5 Bloods,Nomadland,Lovers Rock,The Trial of the Chicago 7,First Cow,Mank,Never Rarely Sometimes Always,Minari,Ma Rainey's Black Bottom,Tenet,,,,,,,,,,
Never Rarely Sometimes Always,First Cow,Da 5 Bloods,Time,Lovers Rock,I'm Thinking of Ending Things,Promising Young Woman,She Dies Tomorrow,Palm Springs,The Trial of the Chicago 7,,,,,,,,,,
Circle Jerk,David Byrne's American Utopia,Dry Wind,Shirley,I'm Thinking of Ending Things,Possessor Uncut,Time,Keep Your Hands Off Eizouken!,Ride Your Wave,Driveways,,,,,,,,,,
Martin Eden,Nomadland,I'm Thinking of Ending Things,Kajillionaire,Mangrove,The Nest,Welcome to Chechnya,The Invisible Man,Dick Johnson Is Dead,Bacurau,,,,,,,,,,
Dick Johnson Is Dead,The Assistant,First Cow,Lovers Rock,Nomadland,Bacurau,"Bloody Nose, Empty Pockets",I'm Thinking of Ending Things,Beanpole,The Nest,,,,,,,,,,
Nomadland,Soul,Borat Subsequent Moviefilm,The Kid Detective,Minari,First Cow,Never Rarely Sometimes Always,Ma Rainey's Black Bottom,Da 5 Bloods,Small Axe,,,,,,,,,,
Soul,The Invisible Man,Wonder Woman 1984,I'm Thinking of Ending Things,Onward,Birds of Prey,The Trial of the Chicago 7,Ma Rainey's Black Bottom,Borat Subsequent Moviefilm,The King of Staten Island,,,,,,,,,,
Onward,The Gentlemen,The Forty-Year-Old Version,Ma Rainey's Black Bottom,The Father,Apocalypse '45,Desert One,Balloon,On the Rocks,Crock of Gold,,,,,,,,,,
First Cow,The Trial of the Chicago 7,Time,Nomadland,Promising Young Woman,Ma Rainey's Black Bottom,Soul,"Bloody Nose, Empty Pockets",News of the World,Mank,,,,,,,,,,
Parasite,Babyteeth,End of the Century,The Invisible Man,Dark Waters,Collective,Portrait of a Lady on Fire,Mank,Lynn+Lucy,His House,,,,,,,,,,
Mank,Boys State,The King of Staten Island,The Trial of the Chicago 7,On the Rocks,Da 5 Bloods,Onward,Pieces of a Woman,Palm Springs,The Personal History of David Copperfield,,,,,,,,,,
Promising Young Woman,Nomadland,News of the World,I'm Thinking of Ending Things,The Vast of Night,Host,The Trial of the Chicago 7,Crip Camp,Mucho Mucho Amor,Minari,,,,,,,,,,
Martin Eden,City Hall,Gunda,David Byrne's American Utopia,Bacurau,First Cow,Never Rarely Sometimes Always,Collective,The Forty-Year-Old Version,Beanpole,,,,,,,,,,
Borat Subsequent Moviefilm,City Hall,Collective,First Cow,Martin Eden,The Forty-Year-Old Version,Palm Springs,Bacurau,David Byrne's American Utopia,Lovers Rock,Dick Johnson Is Dead,Soul,,,,,,,,
Kajillionaire,Da 5 Bloods,The Whistlers,Dick Johnson Is Dead,An Easy Girl,Never Rarely Sometimes Always,On the Rocks,Lovers Rock,Time,City Hall,,,,,,,,,,
Nomadland,The Father,Never Rarely Sometimes Always,Sorry We Missed You,First Cow,Welcome to Chechnya,Martin Eden,Mank,On the Rocks,Da 5 Bloods,,,,,,,,,,
Da 5 Bloods,Parasite,Uncut Gems,David Byrne's American Utopia,Tenet,Hamilton,Rocks,Host,Birds of Prey,Saint Maud,,,,,,,,,,
"Bloody Nose, Empty Pockets",She Dies Tomorrow,An Easy Girl,Lovers Rock,Black Bear,The Inheritance,The 40-Year-Old Version,On the Rocks,Cuties,Feels Good Man,,,,,,,,,,
First Cow,Lovers Rock,Residue,Nomadland,Gunda,I'm Thinking of Ending Things,Time,Collective,Rocks,Hamilton,,,,,,,,,,
Nomadland,Minari,Portrait of a Lady on Fire,Collective,Sound of Metal,Never Rarely Sometimes Always,First Cow,David Byrne's American Utopia,"Bloody Nose, Empty Pockets",Dick Johnson Is Dead,,,,,,,,,,
Saint Maud,Portrait of a Lady on Fire,Parasite,Relic,Clemency,Never Rarely Sometimes Always,Rocks,Saint Frances,Wolfwalkers,The Personal History of David Copperfield,,,,,,,,,,
Promising Young Woman,First Cow,Sound of Metal,Wolfwalkers,Saint Frances,One Night in Miami,Nomadland,Small Axe,Bacurau,Never Rarely Sometimes Always,,,,,,,,,,
Ma Rainey's Black Bottom,Nomadland,David Byrne's American Utopia,Relic,Lovers Rock,Promising Young Woman,Wolfwalkers,Never Rarely Sometimes Always,The Trial of the Chicago 7,One Night in Miami,,,,,,,,,,
Nomadland,Sound of Metal,First Cow,Soul,Martin Eden,Wolfwalkers,The Vast of Night,Lovers Rock,His House,Time,,,,,,,,,,
Never Rarely Sometimes Always,Nomadland,Mank,The Assistant,I'm Thinking of Ending Things,Beanpole,Sorry We Missed You,Boys State,Palm Springs,The Painted Bird,,,,,,,,,,
Soul,Palm Springs,Bad Education,Hamilton,News of the World,Ma Rainey's Black Bottom,Black Is King,Tenet,On the Rocks,Da 5 Bloods,,,,,,,,,,
The Forty-Year-Old Version,Da 5 Bloods,Minari,Soul,Never Rarely Sometimes Always,Sound of Metal,Promising Young Woman,Ma Rainey's Black Bottom,I'm Thinking of Ending Things,The Lodge,,,,,,,,,,
Nomadland,First Cow,Never Rarely Sometimes Always,I'm Thinking of Ending Things,David Byrne's American Utopia,Sound of Metal,Da 5 Bloods,Lovers Rock,Dick Johnson Is Dead,Minari,,,,,,,,,,
Days,Martin Eden,Time,"I Was at Home, But …",Bacurau,Vitalina Varela,Never Rarely Sometimes Always,Lovers Rock,First Cow,Malmkrog,To the Ends of the Earth,,,,,,,,,
Lovers Rock,Mangrove,Mank,First Cow,Boys State,I'm Thinking of Ending Things,The Vast of Night,Time,Nomadland,Vitalina Varela,Soul,,,,,,,,,
Son of the White Mare,Vitalina Varela,I Wish I Knew,The Wild Goose Lake,Time,On the Rocks,"I Was at Home, But …",Jallikattu,The Twentieth Century,The 11th Green,,,,,,,,,,
Wolfwalkers,Nomadland,Minari,A Sun,I'm No Longer Here,The Climb,I Carry You With Me,The Wolf House,Sound of Metal,Los Lobos,,,,,,,,,,
Da 5 Bloods,Spree,Nomadland,The Climb,Lovers Rock,Dick Johnson Is Dead,Driveways,Rent a Pal,Boys State,Coded Bias,,,,,,,,,,
Lovers Rock,Bacurau,"Bloody Nose, Empty Pockets",Collective,The Vast of Night,The Assistant,Wolfwalkers,Mucho Mucho Amor,Never Rarely Sometimes Always,I'm No Longer Here,,,,,,,,,,
David Byrne's American Utopia,Beanpole,Born to Be,Sorry We Missed You,First Cow,Young Ahmed,City Hall,Nomadland,Da 5 Bloods,Desert One,,,,,,,,,,
First Cow,House of Hummingbird,Never Rarely Sometimes Always,Da 5 Bloods,Beanpole,Sorry We Missed You,Los Lobos,Babyteeth,Driveways,Sound of Metal,,,,,,,,,,
David Byrne's American Utopia,Nomadland,One Night in Miami,First Cow,Night of the Kings,Martin Eden,I'm Thinking of Ending Things,Minari,Lovers Rock,Time,,,,,,,,,,
"Bloody Nose, Empty Pockets",The Invisible Man,Sorry We Missed You,Nomadland,Hamilton,I'm Thinking of Ending Things,The Father,Minari,Corpus Christi,Wolfwalkers,,,,,,,,,,
Lovers Rock,Mangrove,I'm Thinking of Ending Things,Beanpole,Rewind,Nomadland,Beyond the Visible - Hilma af Klint,The Assistant,Finding Yingying,The Father,,,,,,,,,,
Possessor Uncut,First Cow,La Llorona,I'm Thinking of Ending Things,Residue,Minari,The Invisible Man,Relic,Driveways,The Dark and the Wicked,,,,,,,,,,
Minari,First Cow,Nomadland,Dick Johnson Is Dead,Da 5 Bloods,Beginning,Never Rarely Sometimes Always,Another Round,I'm Thinking of Ending Things,Shithouse,,,,,,,,,,
Saint Frances,Sound of Metal,Minari,Driveways,First Cow,Miss Juneteenth,True History of the Kelly Gang,The Assistant,His House,"Red, White and Blue",,,,,,,,,,
David Byrne's American Utopia,Da 5 Bloods,Lovers Rock,Nomadland,Hamilton,Ma Rainey's Black Bottom,His House,Time,The Old Guard,The Truth,,,,,,,,,,
Da 5 Bloods,First Cow,I'm Thinking of Ending Things,Mank,Beanpole,Mangrove,Tenet,Lovers Rock,The Assistant,Emma,,,,,,,,,,
Farewell Amor,The Salt in Our Waters,Mogul Mowgli,Wolfwalkers,Herself,Mangrove,Borat Subsequent Moviefilm,African Apocalypse,Da 5 Bloods,Another Round,,,,,,,,,,
Vitalina Varela,First Cow,She Dies Tomorrow,The Wolf House,Shirley,Joan of Arc,Wasp Network,Cut Throat City,Residue,Possessor Uncut,,,,,,,,,,
I'm Thinking of Ending Things,The Assistant,She Dies Tomorrow,Palm Springs,First Cow,Lovers Rock,The Invisible Man,Da 5 Bloods,Nomadland,His House,,,,,,,,,,
The Assistant,Lovers Rock,Promising Young Woman,The Invisible Man,Martin Eden,Nomadland,The Wolf House,The Nest,Mayor,Crip Camp,,,,,,,,,,
David Byrne's American Utopia,The Nest,Sound of Metal,Lovers Rock,Minari,First Cow,Nomadland,The Killing of Kenneth Chamberlain,Promising Young Woman,Collective,,,,,,,,,,
Possessor Uncut,Relic,The Dark and the Wicked,She Dies Tomorrow,Never Rarely Sometimes Always,Host,Shirley,Sound of Metal,Swallow,Murder Death Koreatown,,,,,,,,,,
Vitalina Varela,Martin Eden,First Cow,"Bloody Nose, Empty Pockets",Bacurau,Da 5 Bloods,Lovers Rock,Fourteen,Fire Will Come,Tesla,,,,,,,,,,
Promising Young Woman,Eurovision: The Story of Fire Saga,Swallow,The Painter and the Thief,Wolfwalkers,First Cow,Never Rarely Sometimes Always,Sound of Metal,One Night in Miami,Nomadland,,,,,,,,,,
The Assistant,Boys State,Never Rarely Sometimes Always,Driveways,Palm Springs,Dick Johnson Is Dead,Time,City Hall,Soul,Gunda,,,,,,,,,,
DAU. Natasha,City Hall,The Metamorphosis of Birds,Mon amour,Inventing the Future,Nomadland,"This Is Not a Burial, It's a Resurrection",Siberia,It Must Be Heaven,The Assistant,,,,,,,,,,
On the Rocks,Never Rarely Sometimes Always,Spontaneous,Lovers Rock,First Cow,Nomad: In the Footsteps of Bruce Chatwin,City Hall,The Vast of Night,David Byrne's American Utopia,Nomadland,,,,,,,,,,
Nomadland,David Byrne's American Utopia,Soul,Wolfwalkers,Sorry We Missed You,Boys State,Da 5 Bloods,Palm Springs,First Cow,The Vast of Night,,,,,,,,,,
About Endlessness,It Must Be Heaven,The Amusement Park,Tesla,Lovers Rock,City Hall,Her Socialist Smile,Wolfwalkers,Night of the Kings,His House,,,,,,,,,,
Nomadland,Da 5 Bloods,Lovers Rock,Beanpole,Never Rarely Sometimes Always,David Byrne's American Utopia,The Nest,She Dies Tomorrow,I'm Thinking of Ending Things,Time,,,,,,,,,,
Beans,Yes God Yes,Summer of '85,Little Chief,Emma,Host,I'm Thinking of Ending Things,Blood Quantum,One Night in Miami,The Best Is Yet to Come,,,,,,,,,,
"Bloody Nose, Empty Pockets",Tommaso,Marona's Fantastic Tale,First Cow,The Nest,Bacurau,David Byrne's American Utopia,Lovers Rock,Sorry We Missed You,Cut Throat City,,,,,,,,,,
Never Rarely Sometimes Always,Time,Vitalina Varela,Fire Will Come,"Bloody Nose, Empty Pockets","Red, White and Blue",City Hall,Lovers Rock,Fourteen,First Cow,Residue,,,,,,,,,
Collective,Lovers Rock,David Byrne's American Utopia,First Cow,Bacurau,Time,Minari,Dick Johnson Is Dead,Martin Eden,Nomadland,,,,,,,,,,
Dick Johnson Is Dead,First Cow,I'm Thinking of Ending Things,Wolfwalkers,Another Round,Fourteen,Collective,She Dies Tomorrow,David Byrne's American Utopia,Never Rarely Sometimes Always,,,,,,,,,,
I'm Thinking of Ending Things,Soul,Aviva,Nomadland,Sylvie's Love,Hamilton,The Climb,Kajillionaire,The Trial of the Chicago 7,Dick Johnson Is Dead,,,,,,,,,,
Minari,Never Rarely Sometimes Always,The Trial of the Chicago 7,Sound of Metal,La Llorona,The Assistant,The Painted Bird,Dick Johnson Is Dead,Feels Good Man,My Octopus Teacher,,,,,,,,,,
First Cow,Vitalina Varela,On the Rocks,The Vast of Night,I'm Thinking of Ending Things,Never Rarely Sometimes Always,David Byrne's American Utopia,Da 5 Bloods,Hamilton,She Dies Tomorrow,,,,,,,,,,
Nomadland,Mank,Never Rarely Sometimes Always,First Cow,Collective,City Hall,Da 5 Bloods,Mangrove,The Truth,The Painter and the Thief,,,,,,,,,,
Driveways,Nomadland,Minari,Small Axe,Collective,Bacurau,First Cow,Promising Young Woman,Mank,Wolfwalkers,,,,,,,,,,
Possessor Uncut,First Cow,Nomadland,Mank,Relic,Never Rarely Sometimes Always,I'm Thinking of Ending Things,Another Round,Palm Springs,Lovers Rock,,,,,,,,,,
Da 5 Bloods,David Byrne's American Utopia,Soul,Sound of Metal,Nomadland,The Invisible Man,First Cow,Collective,Minari,Lovers Rock,,,,,,,,,,
Nomadland,New Order,The Nest,I'm Thinking of Ending Things,She Dies Tomorrow,Days,The Father,Lovers Rock,The Surrogate,Relic,,,,,,,,,,
Lovers Rock,Never Rarely Sometimes Always,The Nest,Wolfwalkers,Limbo,Nomadland,"Quo Vadis, Aida?",Another Round,New Order,Sweat,,,,,,,,,,
Limbo,Nomadland,"Quo Vadis, Aida?",Lovers Rock,Wolfwalkers,Minari,Never Rarely Sometimes Always,New Order,Preparations to Be Together for an Unknown Period of Time,Another Round,,,,,,,,,,
Nomadland,The Assistant,Kala Azar,Limbo,Wolfwalkers,Apples,Mangrove,Sweat,Soul,The Cloud in Her Room,,,,,,,,,,
The Disciple,New Order,Lovers Rock,The Trouble With Being Born,I'm Thinking of Ending Things,Days,Never Rarely Sometimes Always,The World to Come,Possessor Uncut,Genus Pan,,,,,,,,,,
Hamilton,Palm Springs,Birds of Prey,The Invisible Man,Emma,Tenet,Da 5 Bloods,Borat Subsequent Moviefilm,Mank,Host,,,,,,,,,,
First Cow,Time,Lovers Rock,Days,Never Rarely Sometimes Always,Martin Eden,"Bloody Nose, Empty Pockets",Vitalina Varela,Bacurau,City Hall,,,,,,,,,,
Nomadland,Sound of Metal,Minari,Hamilton,The Trial of the Chicago 7,Boys State,Soul,Ma Rainey's Black Bottom,First Cow,Mank,,,,,,,,,,
Collective,Nomadland,The Vast of Night,The Wild Goose Lake,Never Rarely Sometimes Always,First Cow,The Painter and the Thief,Palm Springs,The Assistant,76 Days,,,,,,,,,,
"Bloody Nose, Empty Pockets",City Hall,Yourself and Yours,First Cow,The 40-Year-Old Version,Joan of Arc,On the Rocks,Fourteen,Vitalina Varela,Gunda,,,,,,,,,,
Sorry We Missed You,David Byrne's American Utopia,Lovers Rock,Nomadland,Never Rarely Sometimes Always,Space Dogs,The Wolf House,First Cow,To the Ends of the Earth,The Grand Bizarre,,,,,,,,,,
Vitalina Varela,First Cow,Time,Shirley,Bacurau,Da 5 Bloods,The Grand Bizarre,Martin Eden,She Dies Tomorrow,To the Ends of the Earth,,,,,,,,,,
"Bloody Nose, Empty Pockets",Martin Eden,The Invisible Man,Never Rarely Sometimes Always,David Byrne's American Utopia,Zombi Child,Vitalina Varela,City Hall,Bacurau,Time,,,,,,,,,,
City Hall,To the Ends of the Earth,Tommaso,The Cordillera of Dreams,The Grand Bizarre,Welcome to Chechnya,Space Dogs,Ghost Tropic,Time,"Bloody Nose, Empty Pockets",,,,,,,,,,
Martin Eden,Lovers Rock,First Cow,To the Ends of the Earth,Time,City Hall,Tesla,The Assistant,The Cordillera of Dreams,Ham on Rye,,,,,,,,,,
David Byrne's American Utopia,Bacurau,Fourteen,Sorry We Missed You,The Wild Goose Lake,Zombi Child,"Bloody Nose, Empty Pockets",The Whistlers,City Hall,The Grand Bizarre,,,,,,,,,,
The Grand Bizarre,"Bloody Nose, Empty Pockets",The Whistlers,Vitalina Varela,Fourteen,First Cow,Ghost Tropic,Tesla,Pahokee,Liberté,,,,,,,,,,
Inventing the Future,Coronation,To the Ends of the Earth,Zombi Child,Black Is King,Yourself and Yours,A Family Tour,Da 5 Bloods,A Rainy Day in New York,I've Got a Little Problem,,,,,,,,,,
To the Ends of the Earth,Vitalina Varela,I'm Thinking of Ending Things,Kajillionaire,The Wild Goose Lake,Nomadland,She Dies Tomorrow,First Cow,The Vast of Night,Ham on Rye,,,,,,,,,,
First Cow,The Wolf House,The Grand Bizarre,The Twentieth Century,Lovers Rock,Tommaso,Vitalina Varela,Birds of Prey,"Bloody Nose, Empty Pockets",Song Without a Name,,,,,,,,,,
Liberté,Donbass,This Is Not a Movie,Another Round,Around the World When You Were My Age,The Painter and the Thief,Welcome to Chechnya,Collective,The Grand Bizarre,Dating Amber,,,,,,,,,,
City Hall,The Wolf House,To the Ends of the Earth,The Grand Bizarre,Space Dogs,The Cordillera of Dreams,Lovers Rock,"Bloody Nose, Empty Pockets",The Painter and the Thief,Tesla,,,,,,,,,,
The Grand Bizarre,First Cow,Vitalina Varela,Lovers Rock,The Twentieth Century,"Bloody Nose, Empty Pockets",Collective,Tommaso,Time,Joan of Arc,,,,,,,,,,
Soul,Borat Subsequent Moviefilm,One Night in Miami,Minari,Bad Education,Wolfwalkers,Nomadland,Ma Rainey's Black Bottom,Sound of Metal,The Trial of the Chicago 7,,,,,,,,,,
Nomadland,Wolfwalkers,Shirley,Sound of Metal,First Cow,The Painter and the Thief,Never Rarely Sometimes Always,Lovers Rock,Palm Springs,I'm Thinking of Ending Things,,,,,,,,,,
Sound of Metal,Palm Springs,Kajillionaire,The Nest,Boys State,First Cow,The Vast of Night,Bad Education,The Wolf of Snow Hollow,His House,,,,,,,,,,
Sound of Metal,Boys State,I'm Thinking of Ending Things,The Invisible Man,Palm Springs,Possessor Uncut,Mangrove,Minari,Borat Subsequent Moviefilm,Hamilton,,,,,,,,,,
Possessor Uncut,I'm Thinking of Ending Things,Nomadland,The Invisible Man,Shirley,First Cow,Minari,Da 5 Bloods,Mank,Freaky,,,,,,,,,,
Palm Springs,Wolfwalkers,Soul,The Painter and the Thief,Sound of Metal,Bacurau,The Invisible Man,The Personal History of David Copperfield,His House,Relic,,,,,,,,,,
Bacurau,Sound of Metal,Lovers Rock,The Nest,Another Round,Martin Eden,Da 5 Bloods,The Invisible Man,Birds of Prey,Borat Subsequent Moviefilm,,,,,,,,,,
Sylvie's Love,The Vast of Night,Sound of Metal,Mangrove,Da 5 Bloods,Promising Young Woman,The Painter and the Thief,Palm Springs,I'm Thinking of Ending Things,Unpregnant,,,,,,,,,,
I'm Thinking of Ending Things,Nomadland,Gunda,The Wolf House,Ham on Rye,The Vast of Night,Beanpole,Bacurau,First Cow,Dick Johnson Is Dead,,,,,,,,,,
Nomadland,Collective,Soul,Minari,Let Him Go,Borat Subsequent Moviefilm,Ma Rainey's Black Bottom,The Invisible Man,News of the World,I'm Thinking of Ending Things,,,,,,,,,,
Uncut Gems,Mank,Portrait of a Lady on Fire,Soul,The Lighthouse,Parasite,Rocks,Make Up,Tenet,Saint Maud,,,,,,,,,,
Nomadland,Never Rarely Sometimes Always,First Cow,Small Axe,The Assistant,One Night in Miami,Promising Young Woman,Sound of Metal,Da 5 Bloods,The Nest,,,,,,,,,,
First Cow,Bacurau,Time,Never Rarely Sometimes Always,Da 5 Bloods,"Bloody Nose, Empty Pockets",Tenet,She Dies Tomorrow,Dick Johnson Is Dead,Shirley,,,,,,,,,,
First Cow,Collective,The Trial of the Chicago 7,David Byrne's American Utopia,Lovers Rock,Emma,Wolfwalkers,Nomadland,Miss Juneteenth,Bill & Ted Face the Music,,,,,,,,,,
Parasite,Rocks,Saint Maud,Portrait of a Lady on Fire,A Hidden Life,Uncut Gems,Lovers Rock,1917,The Lighthouse,Les Miserables,,,,,,,,,,
Nomadland,Never Rarely Sometimes Always,Lovers Rock,Mank,Tenet,Minari,The Trial of the Chicago 7,First Cow,Inconvenient Indian,"Anne at 13,000 ft",,,,,,,,,,
Tenet,Parasite,Uncut Gems,Mank,Soul,The Lighthouse,Portrait of a Lady on Fire,The Invisible Man,Saint Maud,The Assistant,,,,,,,,,,
Parasite,Uncut Gems,I'm Thinking of Ending Things,David Byrne's American Utopia,The Devil All the Time,The Painted Bird,A Hidden Life,The True History of the Kelly Gang,Rocks,Dark Waters,,,,,,,,,,
Martin Eden,Nomadland,Lovers Rock,Wolfwalkers,Minari,Crip Camp,Driveways,Fire Will Come,"Bloody Nose, Empty Pockets",Get Duked!,,,,,,,,,,
First Cow,David Byrne's American Utopia,Minari,Never Rarely Sometimes Always,Nomadland,Time,Sound of Metal,Shithouse,Another Round,Mangrove,,,,,,,,,,
Promising Young Woman,Palm Springs,The Prom,Minari,Da 5 Bloods,The Trial of the Chicago 7,The Invisible Man,Bad Education,Nomadland,Taylor Swift: Miss Americana,,,,,,,,,,
One Night in Miami,The Prom,The Trial of the Chicago 7,Da 5 Bloods,Sound of Metal,Ma Rainey's Black Bottom,His House,Promising Young Woman,The Invisible Man,The Vast of Night,,,,,,,,,,
The Nest,Minari,Collective,Bad Education,Nomadland,Never Rarely Sometimes Always,Bacurau,Freaky,Let Them All Talk,Shithouse,,,,,,,,,,
A Sun,Saint Frances,Soul,Herself,Nomadland,Mangrove,Ma Rainey's Black Bottom,"A White, White Day",Antebellum,Borat Subsequent Moviefilm,,,,,,,,,,
Mangrove,Sorry We Missed You,Mank,The Outpost,The Trial of the Chicago 7,Never Rarely Sometimes Always,The Prom,Minari,The Invisible Man,David Byrne's American Utopia,,,,,,,,,,
The Painter and the Thief,Mayor,Lovers Rock,Dick Johnson Is Dead,Driveways,The Assistant,Another Round,Time,First Cow,Beanpole,,,,,,,,,,
Lovers Rock,The Nest,Black Bear,Possessor: Uncut,Another Round,Shirley,Kindred,I'm Your Woman,Miss Juneteenth,Console Wars,,,,,,,,,,
Martin Eden,Time,Da 5 Bloods,Beanpole,Collective,Never Rarely Sometimes Always,Tenet,Eurovision: The Story of Fire Saga,The Old Guard,Mayor,,,,,,,,,,
Bacurau,Lovers Rock,Time,Dick Johnson Is Dead,The Assistant,"Bloody Nose, Empty Pockets",Beanpole,Martin Eden,Another Round,Relic,,,,,,,,,,
Small Axe,Nomadland,First Cow,Miss Juneteenth,The Personal History of David Copperfield,Palm Springs,The Assistant,The Half of It,The Trip to Greece,Host,,,,,,,,,,
The Trial of the Chicago 7,News of the World,Possessor Uncut,The Painter and the Thief,Promising Young Woman,Nomadland,On the Rocks,Wolfwalkers,Mank,The Outpost,,,,,,,,,,
Mangrove,Sound of Metal,Nomadland,Never Rarely Sometimes Always,Mank,The Trial of the Chicago 7,Saint Maud,The Devil All the Time,Relic,Wolfwalkers,,,,,,,,,,
Time,The Woman Who Ran,City So Real,Tommaso,Bacurau,Days,Never Rarely Sometimes Always,City Hall,Zombi Child,To the Ends of the Earth,,,,,,,,,,
Never Rarely Sometimes Always,Lovers Rock,"Bloody Nose, Empty Pockets",Da 5 Bloods,First Cow,The Invisible Man,Bad Education,Young Ahmed,Sound of Metal,The Assistant,,,,,,,,,,
Collective,Driveways,First Cow,City Hall,Crip Camp,Never Rarely Sometimes Always,New Order,Bacurau,I'm Your Woman,On the Rocks,,,,,,,,,,
Da 5 Bloods,Sound of Metal,Minari,Never Rarely Sometimes Always,Emma,Palm Springs,Birds of Prey,Nomadland,The Invisible Man,Bacurau,,,,,,,,,,