Critic/Publisher,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eigth,Ninth,Tenth
Bill Goodykoontz,Lady Bird,The Big Sick,Dunkirk,Call Me by Your Name,Get Out,The Florida Project,The Shape of Water,The Post,"Three Billboards Outside Ebbing, Missouri",Phantom Thread
Erika Balsom,Tonsler Park,By the Time It Gets Dark,The Human Surge,Freak Orlando / Chamisso's Shadow,Western,Also Known as Jihadi,Eight Hours Don't Make a Day,The Nothing Factory,El Mar La Mar,Sunstone,Life Imitation
J. Hoberman,Drunk (aka Drink),Zama,Streetscapes [Dialogue],The Vietnam War,Nocturama,Get Out,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,The Florida Project,Bombshell: The Hedy Lamarr Story,An Ecstatic Experience
James Quandt,"""The Boat Is Leaking. The Captain Lied.""",Jean Vigo,Zama,Western,The Nothing Factory,Faces Places,Closeness,12 Jours,Caniba,EX LIBRIS – The New York Public Library
Amy Taubin,Spoor,Quest,Get Out,Top of the Lake: China Girl,Beatriz at Dinner,Faces Places,Tony Conrad: Completely in the Present,Okja,En el Septimo Dia,Twin Peaks: The Return (Part 8)
John Waters,Baby Driver,"I, Olga Hepnarova",The Strange Ones,Nocturama,Wonderstruck,Graduation,The Wizard of Lies,Lady Macbeth,Wonder Wheel,Tom of Finland
Corey Craft,Phantom Thread,Personal Shopper,Lady Bird,A Ghost Story,Get Out,Call Me by Your Name,Dunkirk,A Quiet Passion,The Lost City of Z,The Florida Project
Lindsey Bahr,Dunkirk,Lady Bird,mother!,Call Me by Your Name,The Florida Project,Get Out,Phantom Thread,Wonder Woman,Jane,Star Wars: The Last Jedi
Jake Coyle,Call Me by Your Name,The Florida Project,Dunkirk,Faces Places,Lady Bird,Dawson City: Frozen Time,Get Out,Phantom Thread,Logan Lucky,The Lost City of Z
Christopher Orr,Get Out,Dunkirk,"Three Billboards Outside Ebbing, Missouri",Blade Runner 2049,The Shape of Water,Coco,mother!,The Florida Project,Phantom Thread,The Post
Charles Ealy,The Shape of Water,"Three Billboards Outside Ebbing, Missouri",Lady Bird,"I, Tonya",The Post,Get Out,Darkest Hour,Call Me by Your Name,Wind River,Loveless
Joe Gross,Get Out,The Killing of a Sacred Deer,My Friend Dahmer,Call Me by Your Name,Lady Bird,Lemon,Coco,I Called Him Morgan,Wonder Woman,Twin Peaks: The Return
Matt Shiverdecker,Call Me by Your Name,Lady Bird,The Shape of Water,Dunkirk,Faces Places,The Florida Project,The Killing of a Sacred Deer,The Beguiled,BPM (Beats Per Minute),Coco
Marjorie Baumgarten,The Shape of Water,Call Me by Your Name,Lady Bird,Faces Places,Get Out,Dunkirk,The Florida Project,Hostiles,A Quiet Passion,Mudbound
Steve Davis,The Shape of Water,Dunkirk,Your Name,Truman,Baby Driver,Lady Bird,Call Me by Your Name,Get Out,Coco,Kedi
Kimberley Jones,Call Me by Your Name,Phantom Thread,Jane,The Big Sick,"I, Tonya",My Happy Family,Mudbound,Lady Bird,BPM (Beats Per Minute),A Ghost Story
Josh Kupecki,I Don't Feel at Home in This World Anymore,Lady Bird,EX LIBRIS – The New York Public Library,Jane,"I, Tonya",Faces Places,Ingrid Goes West,Thelma,Call Me by Your Name,Columbus
Marc Savlov,mother!,Call Me by Your Name,Dunkirk,The Shape of Water,"Three Billboards Outside Ebbing, Missouri",Get Out,Baby Driver,The Florida Project,Lucky,Wonder Woman
Danielle White,"Three Billboards Outside Ebbing, Missouri",The Big Sick,Shot Caller,Get Out,The Lure,Columbus,Call Me by Your Name,Lady Bird,A Ghost Story,Ingrid Goes West
Richard Whittaker,Dunkirk,"I, Tonya",Blade Runner 2049,"Three Billboards Outside Ebbing, Missouri",Logan,Personal Shopper,The Big Sick,Brigsby Bear,Good Time,A Dark Song
A.A. Dowd,The Florida Project,Nocturama,Lady Bird,The Lost City of Z,Phantom Thread,A Quiet Passion,The Square,Dunkirk,mother!,Call Me by Your Name
Mike D’Angelo,mother!,The Florida Project,Staying Vertical,Brawl in Cell Block 99,Nocturama,The Killing of a Sacred Deer,Wormwood,4 Days In France,Phantom Thread,Félicité
Jesse Hassenger,The Florida Project,Lady Bird,A Ghost Story,Logan Lucky,The Meyerowitz Stories (New and Selected),"Three Billboards Outside Ebbing, Missouri",Colossal,Star Wars: The Last Jedi,T2: Trainspotting,Logan
Noel Murray,The Florida Project,Lady Bird,Baby Driver,A Ghost Story,Get Out,Dunkirk,Their Finest,mother!,Menashe,My Happy Family
Katie Rife,Lady Bird,Phantom Thread,Call Me by Your Name,Get Out,The Florida Project,The Square,The Post,Lady Macbeth,The Big Sick,Lucky
Ignatiy Vishnevetsky,Nocturama,The Lost City of Z,Dunkirk,Logan,Phantom Thread,Lady Bird,The Killing of a Sacred Deer,John Wick: Chapter 2,Good Time,Call Me by Your Name
Gregory Ellwood,The Florida Project,Call Me by Your Name,The Rider,A Fantastic Woman,"Three Billboards Outside Ebbing, Missouri",Blade Runner 2049,The Shape of Water,Ingrid Goes West,The Killing of a Sacred Deer,Okja
Staff,Get Out,Rat Film,The Keepers,John Wick: Chapter 2,Lady Bird,The Human Surge,Logan Lucky,Ingrid Goes West,Mudbound,Girls Trip
Nicholas Barber,The Shape of Water,Happy End,Paddington 2,Good Time,Get Out,The Florida Project,Lady Bird,Their Finest,A Ghost Story,Downsizing
Siddhant Adlakha,(tie) Bodied AND The Rider,The Work,Dunkirk,Get Out,War for the Planet of the Apes,Logan,Star Wars: The Last Jedi,Wonder Woman,Hasan Minhaj: Homecoming King,T2: Trainspotting
Jacob Knight,John Wick: Chapter 2,Call Me by Your Name,Good Time,The Shape of Water,The Transfiguration,Baby Driver,The Florida Project,Get Out,Brawl in Cell Block 99,Personal Shopper
Priscilla Page,"I, Tonya",Guardians of the Galaxy Vol. 2,The Big Sick,Colossal,John Wick: Chapter 2,Alien: Covenant,Sweet Virginia,Get Out,Baby Driver,Wind River,Logan Lucky
Evan Saathoff,The Work,A Ghost Story,Get Out,John Wick: Chapter 2,mother!,Good Time,Logan,The Big Sick,Lucky,Star Wars: The Last Jedi
Andrew Todd,mother!,Bodied,Get Out,Les Garcons Sauvages,The Florida Project,Star Wars: The Last Jedi,The Big Sick,Lowlife,Valerian and the City of a Thousand Planets,Raw
Scott Wampler,The Shape of Water,Blade Runner 2049,Get Out,A Ghost Story,The Big Sick,It,The Disaster Artist,mother!,Alien: Covenant,John Wick: Chapter 2,xXx: The Return of Xander Cage
James Verniere,The Shape of Water,Dunkirk,Darkest Hour,The Post,In the Fade,Dawson City: Frozen Time,Frantz,All the Money in the World,Lady Bird,My Journey Through French Cinema
Alison Willmore,The Florida Project,Phantom Thread,The Villainess,Faces Places,Your Name,Dunkirk,Okja,Raw,Get Out,A Fantastic Woman
Staff,Twin Peaks: The Return,Jeannette: The Childhood of Joan of Arc,Certain Women,Get Out,The Day After,Lover for a Day,Good Time,Split,Jackie,Billy Lynn’s Long Halftime Walk
Tim Miller,Polina,"Three Billboards Outside Ebbing, Missouri",Detroit,A Ghost Story,Lady Bird,The Florida Project,The Disaster Artist,I Am Not Your Negro,Frantz,The Square
Eli Glasner,The Florida Project,"I, Tonya",Call Me by Your Name,The Shape of Water,Blade Runner 2049,"Three Billboards Outside Ebbing, Missouri",The Breadwinner,Dunkirk,Darkest Hour,Spider-Man: Homecoming
J.R. Jones,The Lost City of Z,I Am Not Your Negro,Toni Erdmann,Lady Bird,Nocturama,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Loving Vincent,Dawson City: Frozen Time,The Red Turtle,Death in the Terminal
Ben Sachs,Toni Erdmann,Nocturama,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,L'Important C'Est D'Aimer,Sixty Six,Dim the Fluorescents,Nowhere to Hide,EX LIBRIS – The New York Public Library,Mimosas,Song to Song
Dann Gire,Get Out,Lady Bird,The Big Sick,"Three Billboards Outside Ebbing, Missouri",Call Me by Your Name,Blade Runner 2049,Mudbound,Dunkirk,The Post,Phantom Thread
Richard Roeper,"Three Billboards Outside Ebbing, Missouri",The Post,Wind River,Dunkirk,Baby Driver,Blade Runner 2049,The Big Sick,Molly's Game,It,Detroit
Michael Phillips,Lady Bird,A Ghost Story,Get Out,Phantom Thread,Rat Film,Mudbound,Good Time,Raw,The Florida Project,Call Me by Your Name
Peter Rainer,The Florida Project,Get Out,Afterimage,EX LIBRIS – The New York Public Library,Faces Places,The Breadwinner,The Big Sick,Kedi,Phantom Thread,mother!
Eric Eisenberg,Blade Runner 2049,Baby Driver,The Disaster Artist,War on Everyone,Detroit,Get Out,The Shape of Water,Colossal,The Post,It
Sean O'Connell,The Post,Logan,The Shape of Water,Good Time,mother!,The Florida Project,Coco,Wind River,Baby Driver,It
Mike Reyes,The Shape of Water,Logan,Get Out,Blade Runner 2049,Your Name,Patti Cake$,War for the Planet of the Apes,Baby Driver,Raw,Wind River
Conner Schwerdtfeger,Wonder Woman,The Disaster Artist,Baby Driver,Dunkirk,Logan,Annabelle: Creation,It,John Wick: Chapter 2,Get Out,The LEGO Batman Movie
Staff,The Florida Project,Zama,You Were Never Really Here,The Killing of a Sacred Deer,Call Me by Your Name,Song of Granite,The Lost City of Z,The Shape of Water,Lady Bird,mother!
Sam Allard,Lady Bird,War for the Planet of the Apes,Blade Runner 2049,Wind River,Get Out,Dunkirk,"I, Daniel Blake",Raw,Baby Driver,Frantz
Chris Cabin,A Quiet Passion,Good Time,Phantom Thread,Get Out,Columbus,EX LIBRIS – The New York Public Library,The Lost City of Z,Faces Places,mother!,A Ghost Story
Adam Chitwood,Call Me by Your Name,The Shape of Water,Lady Bird,Star Wars: The Last Jedi,Wonder Woman,Dunkirk,Baby Driver,Get Out,The Florida Project,Blade Runner 2049
Brian Formo,Phantom Thread,Good Time,Personal Shopper,The Lost City of Z,God's Own Country,Get Out,The Shape of Water,Lady Bird,Call Me by Your Name,Brawl in Cell Block 99
Haleigh Foutch,Call Me by Your Name,The Shape of Water,Phantom Thread,Dunkirk,Faces Places,A Ghost Story,Colossal,Logan,Raw,The Killing of a Sacred Deer
Matt Goldberg,Get Out,Mudbound,Lady Bird,Guardians of the Galaxy Vol. 2,The Disaster Artist,The Shape of Water,The Florida Project,Baby Driver,War for the Planet of the Apes,Call Me by Your Name
John Beifuss,Get Out,A Quiet Passion,The Florida Project,Lady Bird,Baby Driver,A Ghost Story,Wonder Woman,Toni Erdmann,The Shape of Water,Dunkirk
Staff,Blade Runner 2049,The Florida Project,Dunkirk,Call Me by Your Name,Lady Bird,A Ghost Story,Get Out,Baby Driver,Phantom Thread,Logan
William Bibbiani,Get Out,(tie) Logan AND Wonder Woman,The Big Sick,Raw,The Light of the Moon,It,Columbus,The Disaster Artist,(tie) Blade Runner 2049 AND Star Wars: The Last Jedi AND Valerian and the City of a Thousand Planets
David Hudson,A Ghost Story,Western,Good Time,Get Out,Let the Sunshine In,Untitled,The Day After,Call Me by Your Name,The Florida Project,The Rider
Joshua Brunsting,Personal Shopper,A Quiet Passion,By the Time It Gets Dark,Faces Places,On the Beach at Night Alone,The Woman Who Left,Nocturama,All This Panic,The Florida Project,The Human Surge
Graham Fuller,Phantom Thread,Personal Shopper,Lady Macbeth,The Florida Project,The Square,"Three Billboards Outside Ebbing, Missouri",Happy End,Get Out,Dawson City: Frozen Time,The Unknown Girl
Marlow Stern,Phantom Thread,Lady Bird,Faces Places,The Florida Project,Call Me by Your Name,Columbus,Get Out,A Ghost Story,A Fantastic Woman,BPM (Beats Per Minute)
Nick Chen,Get Out,Call Me by Your Name,BPM (Beats Per Minute),The Killing of a Sacred Deer,mother!,The Florida Project,Mudbound,The Disaster Artist,Lady Bird,Good Time
Pete Hammond,The Post,Dunkirk,Lady Bird,The Shape of Water,War for the Planet of the Apes,Molly's Game,"Three Billboards Outside Ebbing, Missouri",Get Out,Kedi,mother!
Staff,Get Out,Blade Runner 2049,Dunkirk,Paddington 2,Wonder Woman,A Monster Calls,Colossal,Logan,War for the Planet of the Apes,The Big Sick
David Crow,Detroit,"Three Billboards Outside Ebbing, Missouri",Dunkirk,Lady Bird,Call Me by Your Name,Logan,Get Out,Molly's Game,"I, Tonya",Okja
Don Kaye,"Three Billboards Outside Ebbing, Missouri",The Killing of a Sacred Deer,It,Logan,Hostiles,The Big Sick,Graduation,Call Me by Your Name,Detroit,The Post
Adam Graham,The Florida Project,mother!,Wind River,"Three Billboards Outside Ebbing, Missouri",War for the Planet of the Apes,The Disaster Artist,The Killing of a Sacred Deer,Mayhem,Star Wars: The Last Jedi,Jim & Andy: The Great Beyond
Staff,Get Out,Blade Runner 2049,La La Land,Moonlight,The Death of Stalin,Dunkirk,God's Own Country,Logan,The Handmaiden,Call Me by Your Name
Staff,Dunkirk,Call Me by Your Name,The Shape of Water,Get Out,Foxtrot,Hostiles,Lady Bird,Molly's Game,Faces Places,Wonder Woman
Nick Schager,Wormwood,Lady Macbeth,Dunkirk,Marjorie Prime,Columbus,I Don't Feel at Home in This World Anymore,Okja,Phantom Thread,The Lost City of Z,I Called Him Morgan
Kevin Lally,Call Me by Your Name,The Shape of Water,Get Out,Dunkirk,Mudbound,The Florida Project,Okja,A Fantastic Woman,Lady Bird,Their Finest
Robert Koehler,Twin Peaks: The Return,All the Cities of the North,Dunkirk,Sieranevada,Zama,Western,Good Time,The Human Surge,Bluebeard,Hermia & Helena
Ken Bakely,Personal Shopper,Nocturama,Lady Bird,Baby Driver,Get Out,Mudbound,Dunkirk,Princess Cyd,Graduation,The Big Sick
Blake Crane,The Florida Project,Get Out,Lady Bird,Personal Shopper,Phantom Thread,Call Me by Your Name,Good Time,Dunkirk,Columbus,Faces Places
Chris Luciantonio,The Shape of Water,Lady Bird,A Ghost Story,Baby Driver,The Killing of a Sacred Deer,Blade Runner 2049,Thelma,Dunkirk,Good Time,Mudbound
Mynt Marsellus,Call Me by Your Name,Mudbound,Lady Bird,The Big Sick,Dunkirk,Blade Runner 2049,Get Out,Logan Lucky,Wonder Woman,Battle of the Sexes
Adam Patterson,The Florida Project,Get Out,Good Time,The Human Surge,Call Me by Your Name,Dunkirk,Lady Bird,Raw,Nocturama,The Killing of a Sacred Deer
Kevin Rakestraw,A Bride for Rip Van Winkle,By the Time It Gets Dark,Person to Person,Get Out,Sylvio,Maison Du Bonheur,I Am Not Your Negro,Double King,The Killing of a Sacred Deer,The Human Surge
Rob Hunter,Call Me by Your Name,Thelma,Columbus,Foxtrot,A Ghost Story,The Square,Professor Marston and the Wonder Women,Bad Genius,Personal Shopper,Dunkirk
John Fink,The Square,Dawson City: Frozen Time,Phantom Thread,Columbus,EX LIBRIS – The New York Public Library,Whose Streets?,Song to Song,Good Time,Coco,Lovesong
Willow Maclay,Twin Peaks: The Return,Lady Bird,Milla,"Strangely Ordinary, This Devotion",Good Time,Personal Shopper,In This Corner of the World,Your Name,On the Beach at Night Alone,Resident Evil: The Final Chapter
Mike Mazzanti,The Lost City of Z,Good Time,Brawl in Cell Block 99,Logan,A Ghost Story,John Wick: Chapter 2,Get Out,Free Fire,Dunkirk,Alien: Covenant
Jared Mobarak,Mudbound,Dunkirk,Call Me by Your Name,"Three Billboards Outside Ebbing, Missouri",Get Out,Lady Macbeth,It Comes at Night,A Quiet Passion,Wonderstruck,Thelma
Nick Newman,Twin Peaks: The Return,Song to Song,Marjorie Prime,On the Beach at Night Alone,Nathan for You: Finding Frances,The Son of Joseph,Person to Person,Trouble No More,Phantom Thread,Risk
Jordan Raup,A Ghost Story,Song to Song,Phantom Thread,Dawson City: Frozen Time,Nocturama,Call Me by Your Name,Good Time,Princess Cyd,A Quiet Passion,The Work
Christopher Schobert,The Shape of Water,Lady Bird,The Florida Project,Call Me by Your Name,Mudbound,Personal Shopper,Get Out,Star Wars: The Last Jedi,Wonderstruck,Columbus
Michael Snydel,Call Me by Your Name,EX LIBRIS – The New York Public Library,Phantom Thread,Nocturama,Princess Cyd,Good Time,Staying Vertical,In This Corner of the World,Dawson City: Frozen Time,Brawl in Cell Block 99
Jose Solís,mother!,BPM (Beats Per Minute),The Square,Wonder Woman,Lady Bird,Dawson City: Frozen Time,A Ghost Story,Foxtrot,Princess Cyd,4 Days in France
Ryan Swen,On the Beach at Night Alone,The Work,Faces Places,Princess Cyd,Good Time,Baahubali 2: The Conclusion,The Post,Resident Evil: The Final Chapter,BPM (Beats Per Minute),Star Wars: The Last Jedi
Zhuo-Ning Su,Call Me by Your Name,BPM (Beats Per Minute),A Ghost Story,Foxtrot,mother!,Nocturama,Happy End,Get Out,The Great Buddha+,Golden Exits
Alex Billington,Call Me by Your Name,War for the Planet of the Apes,The Shape of Water,The Florida Project,Dunkirk,Jane,Foxtrot,Faces Places,You Were Never Really Here,Thelma
Adam Frazier,The Shape of Water,Brigsby Bear,War for the Planet of the Apes,Get Out,The Post,Lady Bird,Call Me by Your Name,Logan,"I, Tonya",It
Jeremy Kirk,mother!,Lady Bird,A Ghost Story,The Big Sick,Dunkirk,Get Out,The Killing of a Sacred Deer,John Wick: Chapter 2,War for the Planet of the Apes,The Beguiled
Jason Bailey,Mudbound,Lady Bird,The Florida Project,"Three Billboards Outside Ebbing, Missouri",Get Out,Logan Lucky,Okja,Phantom Thread,"I, Tonya",Call Me by Your Name
Staff,Good Time,Lady Bird,The Beguiled,The Florida Project,Get Out,Dunkirk,"Three Billboards Outside Ebbing, Missouri",The Lost City of Z,The Shape of Water,T2 Trainspotting
Staff,Get Out,Blade Runner 2049,Coco,Logan,Dunkirk,Star Wars: The Last Jedi,It,John Wick: Chapter 2,Lady Bird,The Disaster Artist
Staff,Call Me by Your Name,The Florida Project,Get Out,Phantom Thread,Lady Bird,The Post,The Shape of Water,Blade Runner 2049,A Ghost Story,Lady Macbeth
Nick Chandler,World of Tomorrow Episode Two: The Burden of Other People’s Thoughts,Blade Runner 2049,Lady Bird,The Handmaiden,Get Out,Baby Driver,Your Name,Dunkirk,The Lost City of Z,Raw
Stephen Farber,"Three Billboards Outside Ebbing, Missouri",Lady Bird,Call Me by Your Name,The Post,BPM (Beats Per Minute),The Insult,California Typewriter,Brad's Status,Film Stars Don't Die in Liverpool,Downsizing
Jon Frosch,Call Me by Your Name,Lady Bird,BPM (Beats Per Minute),The Shape of Water,A Fantastic Woman,"Three Billboards Outside Ebbing, Missouri",God's Own Country,Raw,Get Out,Dunkirk
Sheri Linden,Call Me by Your Name,A Ghost Story,The Shape of Water,Personal Shopper,Marjorie Prime,Graduation,Get Out,A Quiet Passion,Rat Film,My Friend Dahmer
Todd McCarthy,Downsizing,Call Me by Your Name,Lady Bird,My Journey Through French Cinema,The Florida Project,Phantom Thread,Graduation,Faces Places,The Shape of Water,Dunkirk
Michael Rechtshaffen,Call Me by Your Name,Get Out,Dunkirk,The Shape of Water,Lady Bird,"Three Billboards Outside Ebbing, Missouri",Jane,Coco,Detroit,The Disaster Artist
David Rooney,Call Me by Your Name,The Shape of Water,Lady Bird,A Fantastic Woman,"Three Billboards Outside Ebbing, Missouri",God's Own Country,Get Out,The Big Sick,The Other Side of Hope,Good Time
Frank Scheck,Dunkirk,Call Me by Your Name,Get Out,Lady Bird,"Three Billboards Outside Ebbing, Missouri",Wind River,Last Flag Flying,Wonder,Detroit,The Big Sick
Borys Kit,The Shape of Water,Get Out,Logan,Spider-Man: Homecoming,Wonder Woman,Baby Driver,It,The LEGO Batman Movie,Blade Runner 2049,Star Wars: The Last Jedi
Cary Darling,Get Out,Dunkirk,The Lost City of Z,Lady Bird,Logan,The Florida Project,The Big Sick,The Post,"Three Billboards Outside Ebbing, Missouri",I Am Not Your Negro
Matthew Jacobs,Call Me by Your Name,The Florida Project,The Shape of Water,Okja,Get Out,Lady Bird,A Ghost Story,God's Own Country,The Beguiled,A Fantastic Woman
Col Needham,The Shape of Water,Dunkirk,Molly's Game,Baby Driver,The Big Sick,The Square,Wonderstruck,Mudbound,Wind River
Keith Simanton,Lady Bird,"Three Billboards Outside Ebbing, Missouri",The Big Sick,Dunkirk,The Florida Project,Blade Runner 2049,Coco,Split,Call Me by Your Name,Phantom Thread
Staff,Call Me by Your Name,Moonlight,Get Out,Manchester by the Sea,Personal Shopper,Good Time,Dunkirk,The Florida Project,War for the Planet of the Apes,Song to Song
David Ehrlich   View video countdown,Call Me by Your Name,Dunkirk,A Ghost Story,Personal Shopper,The Florida Project,Columbus,Lady Bird,Faces Places,The Post,Phantom Thread
Eric Kohn,Get Out,Foxtrot,Lady Bird,A Fantastic Woman,Phantom Thread,Good Time,The Florida Project,The Ornithologist,Menashe,The Death of Louis XIV
Anne Thompson,The Shape of Water,Lady Bird,Faces Places,Blade Runner 2049,Darkest Hour,Loveless,Dunkirk,First They Killed My Father,The Florida Project,The Big Sick
Staff,Nocturama,Good Time,Personal Shopper,Phantom Thread,The Lost City of Z,Get Out,The Florida Project,Song to Song,Call Me by Your Name,Marjorie Prime
Nicholas Bell,Paradise,The Untamed,A Quiet Passion,Happy End,Planetarium,The Ornithologist,The Square,A Woman's Life,BPM (Beats Per Minute),The Florida Project
"Donald Clarke, Tara Brady",Moonlight,My Life as a Zucchini,God's Own Country,The Florida Project,It Comes at Night,Aquarius,Dunkirk,Lady Macbeth,Jackie,Get Out
Chris Bumbray,Dunkirk,Brawl in Cell Block 99,Call Me by Your Name,The Shape of Water,"Three Billboards Outside Ebbing, Missouri",Lady Bird,Baby Driver,The Lost City of Z,Good Time,Wind River
Christopher Lawrence,Wind River,"Three Billboards Outside Ebbing, Missouri",Get Out,Dunkirk,The Shape of Water,Baby Driver,Thor: Ragnarok,Logan,Logan Lucky,Brigsby Bear
Josh Bell,Colossal,A Ghost Story,mother!,"I, Tonya",Atomic Blonde,Hounds of Love,Columbus,Get Out,Split,The LEGO Batman Movie
L. Kent Wolgamott,"Three Billboards Outside Ebbing, Missouri",Baby Driver,Dunkirk,Darkest Hour,The Florida Project,Get Out,Lucky,Coco,Wind River,Lady Bird
Staff,Call Me by Your Name,Phantom Thread,The Florida Project,Lady Bird,The Levelling,Logan Lucky,The Shape of Water,Paddington 2,Get Out,Good Time
Bob Strauss,Get Out,A Quiet Passion,Faces Places,Last Men in Aleppo,The Florida Project,Blade Runner 2049,The Shape of Water,Columbus,Dunkirk,"I, Tonya",Lady Bird,The Disaster Artist,Professor Marston and the Wonder Women
Justin Chang,Call Me by Your Name,The Florida Project,Phantom Thread,mother!,EX LIBRIS – The New York Public Library,Columbus,A Quiet Passion,Brawl in Cell Block 99,Lady Bird,Graduation
Mark Olsen,Mudbound,The Shape of Water,The Florida Project,Phantom Thread,The Meyerowitz Stories (New and Selected),Lady Bird,Okja,Get Out,The Disaster Artist,The Square
Angie Han,The Shape of Water,Call Me by Your Name,Get Out,Lady Macbeth,Lady Bird,Guardians of the Galaxy Vol. 2,Raw,Alien: Covenant,The Big Sick,xXx: Return of Xander Cage
Marc Doyle (Editor in Chief),"Three Billboards Outside Ebbing, Missouri",Wind River,Columbus,Good Time,Raw,Patti Cake$,Phantom Thread,The Florida Project,Blade Runner 2049,Logan Lucky
Rebecca Lewis,Get Out,Moonlight,Dunkirk,Blade Runner 2049,La La Land,It,Wonder Woman,Star Wars: The Last Jedi,Hidden Figures,Baby Driver
Gregory Wakeman,The Post,Call Me by Your Name,Logan,Dunkirk,Get Out,Lady Bird,"Three Billboards Outside Ebbing, Missouri",Jim & Andy: The Great Beyond,God's Own Country,Blade Runner 2049
Dewey Singleton,The Shape of Water,Call Me by Your Name,Lady Bird,"I, Tonya",Get Out,The Disaster Artist,Dunkirk,All the Money in the World,The Post,The Big Sick
Joe Leydon,Colossal,Lucky,Wind River,Kedi,Truman,"I, Tonya",The Big Sick,Last Flag Flying,The Post,Lady Bird
Mike Scott,The Shape of Water,"Three Billboards Outside Ebbing, Missouri",Get Out,The Florida Project,The Post,Mudbound,Darkest Hour,Dunkirk,Wind River,"I, Tonya"
Johnny Oleksinski,Lady Bird,Call Me by Your Name,The Big Sick,War for the Planet of the Apes,The Post,Get Out,Coco,Blade Runner 2049,Baby Driver,Brawl in Cell Block 99
Sara Stewart,Call Me by Your Name,Lady Bird,Get Out,"I, Tonya",Baby Driver,Spider-Man: Homecoming,The Beguiled,Colossal,Mudbound,Star Wars: The Last Jedi
Manohla Dargis,Dunkirk,EX LIBRIS – The New York Public Library,Faces Places,The Florida Project,Get Out,Lady Bird,Okja,Phantom Thread,A Quiet Passion,Wonder Woman
A.O. Scott,The Florida Project,Lady Bird,Get Out,I Am Not Your Negro,Faces Places,Phantom Thread,A Fantastic Woman,Graduation,A Quiet Passion,War for the Planet of the Apes
Richard Brody,Get Out,A Quiet Passion,Good Time,A Ghost Story,Slack Bay,Phantom Thread,Beach Rats,Faces Places,Song to Song,Sylvio
Staff,Thor: Ragnarok,Baby Driver,Get Out,Dunkirk,Call Me by Your Name,Swagger of Thieves,T2 Trainspotting,The Big Sick,John Wick: Chapter 2,Blade Runner 2049
Rafer Guzman,Get Out,Dunkirk,Battle of the Sexes,The Big Sick,The Shape of Water,Wonder Woman,Lady Bird,"I, Tonya",Atomic Blonde,The Disaster Artist
Staff,Get Out,Baby Driver,Blade Runner 2049,Moonlight,Call Me by Your Name,La La Land,Dunkirk,Wonder Woman,T2: Trainspotting,It
Kevin Ritchie,Faces Places,Strong Island,A Quiet Passion,Good Time,Grace Jones: Bloodlight and Bam,Manifesto,Beach Rats,Caniba,Columbus,Get Out
Glenn Sumi,The Florida Project,Phantom Thread,Get Out,God's Own Country,Dunkirk,Lady Bird,Baby Driver,The Breadwinner,Detroit,Good Time
